Date,Open,High,Low,Close,Adj Close,Volume
2009-09-18,202.320007,207.279999,202.320007,207.190002,147.308884,413700
2009-09-21,205.820007,207.000000,203.669998,204.320007,145.268326,278200
2009-09-22,205.550003,208.740005,205.550003,208.199997,148.026932,204200
2009-09-23,213.660004,220.169998,210.500000,211.029999,150.039001,739700
2009-09-24,212.190002,214.039993,203.809998,206.250000,146.640503,446300
2009-09-25,206.270004,206.270004,203.000000,203.750000,144.863022,262500
2009-09-28,205.389999,213.919998,205.250000,213.919998,152.093796,406400
2009-09-29,213.940002,216.660004,213.270004,214.119995,152.235977,417000
2009-09-30,216.350006,218.610001,212.639999,216.820007,154.155640,410100
2009-10-01,214.869995,217.690002,208.729996,208.800003,148.453506,393700
2009-10-02,207.240005,212.029999,206.000000,206.929993,147.123978,364300
2009-10-05,208.350006,213.259995,207.009995,213.100006,151.510727,349700
2009-10-06,215.979996,219.059998,210.300003,213.110001,151.517883,558700
2009-10-07,214.009995,214.389999,210.580002,213.500000,151.795135,325100
2009-10-08,214.899994,217.250000,213.210007,213.860001,152.051132,318400
2009-10-09,214.500000,217.190002,213.520004,216.550003,153.963638,321300
2009-10-12,216.470001,218.500000,216.070007,217.729996,154.802643,330800
2009-10-13,216.839996,216.899994,212.649994,213.789993,152.001343,228500
2009-10-14,216.500000,227.000000,216.149994,226.059998,160.725082,514400
2009-10-15,224.839996,227.860001,223.600006,226.160004,160.796219,289000
2009-10-16,224.500000,227.119995,222.770004,225.550003,160.362564,183300
2009-10-19,229.600006,233.910004,228.470001,230.429993,163.832138,515800
2009-10-20,235.800003,240.000000,233.649994,236.600006,168.218857,736600
2009-10-21,234.250000,237.770004,233.039993,233.809998,166.235214,480400
2009-10-22,233.410004,235.210007,229.160004,233.800003,166.228165,285400
2009-10-23,233.779999,235.130005,230.259995,231.199997,164.379593,294100
2009-10-26,233.070007,233.520004,226.839996,227.990005,162.097305,257900
2009-10-27,226.309998,227.949997,221.080002,221.899994,157.767410,256900
2009-10-28,222.630005,227.759995,220.000000,221.619995,157.568329,458800
2009-10-29,223.720001,225.759995,222.149994,225.259995,160.156281,342700
2009-10-30,224.410004,224.410004,214.550003,216.490005,153.921021,414000
2009-11-02,217.020004,221.770004,216.110001,220.710007,156.921356,429300
2009-11-03,218.600006,221.320007,216.119995,221.029999,157.148849,253200
2009-11-04,222.020004,224.580002,219.690002,220.350006,156.665405,174100
2009-11-05,220.729996,226.669998,220.649994,226.610001,161.116135,148200
2009-11-06,225.380005,229.619995,224.580002,227.509995,161.756058,172200
2009-11-09,228.559998,237.600006,228.199997,235.500000,167.436829,434400
2009-11-10,236.050003,236.690002,231.789993,232.080002,165.005219,273400
2009-11-11,231.960007,235.330002,231.649994,233.259995,165.844177,341100
2009-11-12,231.899994,234.169998,230.220001,231.250000,164.415085,240400
2009-11-13,231.309998,233.779999,229.559998,233.100006,165.730469,127000
